timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 19:59:02.907, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.957, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.007, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.30 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.057, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.30 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.107, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.157, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.208, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.258, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.308, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.358, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.408, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.458, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.509, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.559, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.609, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.659, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.709, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.759, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.809, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.860, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.910, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:03.960, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.010, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.060, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.38 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.110, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.161, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.211, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.261, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.311, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.361, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.411, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.461, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.512, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.562, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.612, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.63 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.662, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.63 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.712, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.69 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.763, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.69 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.813, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.75 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.863, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.75 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.913, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.81 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:04.963, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.81 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.013, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.86 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.063, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.86 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.114, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.91 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.164, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.91 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.214, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.264, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.314, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.364, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.415, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.18 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.465, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.18 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.515, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.565, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.615, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.49 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.665, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.49 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.715, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.44 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.766, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.44 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.816, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.37 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.866, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.37 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.916, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.30 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:05.966, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.30 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.016, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.067, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.117, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.167, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.217, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.267, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.317, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.368, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.418, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.468, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.518, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.568, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.618, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:06.668, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.16 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
