timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 20:31:12.014, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.21 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.064, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.21 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.114, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.15 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.165, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.15 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.215, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.265, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.315, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.365, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.415, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.465, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.516, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.566, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.616, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.666, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.716, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.766, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.817, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.867, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.917, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.967, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.017, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.067, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.118, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.168, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.218, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.268, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.318, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.368, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.419, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.469, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.519, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.569, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.619, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.669, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.34 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.720, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.33 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.770, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.33 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.820, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.36 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.870, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.36 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.920, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.40 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:13.971, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.40 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.021, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.44 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.071, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.44 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.121, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.47 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.171, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.47 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.221, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.49 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.272, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.49 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.322, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.71 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.372, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.71 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.422, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.71 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.472, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.71 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.522, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.71 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.573, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.71 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.623, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.70 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.673, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.70 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.723, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.84 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.773, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.84 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.823, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.81 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.873, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.81 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.924, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.79 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:14.974, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.79 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
