run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
574,tikki,10000,250,14,1.597065,1.062569,16000
575,printf,10000,250,12,1.554704,1.019145,16000
576,extrae,10000,2000,10,1.772374,1.235148,250
577,extrae,10000,1000,16,1.661312,1.132602,1000
578,extrae,10000,2000,2,3.801931,3.263233,250
579,extrae,10000,500,15,1.667044,1.135569,4000
58,printf,10000,1000,9,1.606352,1.076634,1000
580,empty,10000,1000,6,1.679781,1.147436,1000
581,empty,10000,2000,15,1.649221,1.115326,250
582,scorep,10000,500,12,1.605199,1.067537,4000
583,empty,10000,250,7,1.550064,1.014090,16000
584,scorep,10000,250,1,7.394607,6.860357,16000
585,empty,10000,500,16,1.609407,1.074514,4000
586,scorep,10000,250,4,2.203699,1.668229,16000
587,void,10000,2000,4,2.168750,1.633452,250
588,printf,10000,1000,15,1.594509,1.062157,1000
589,tikki,10000,1000,1,7.851856,7.320434,1000
59,extrae,10000,1000,4,2.200446,1.671270,1000
590,oot,10000,2000,14,1.704761,1.167927,250
591,scorep,10000,500,7,1.572719,1.037426,4000
592,void,10000,2000,9,1.649229,1.116345,250
593,oot,10000,1000,15,1.603445,1.069331,1000
594,tikki,10000,2000,13,1.665026,1.134385,250
595,scorep,10000,2000,12,1.630617,1.097663,250
596,tikki,10000,1000,14,1.649577,1.116615,1000
597,oot,10000,250,13,1.542243,1.007644,16000
598,empty,10000,1000,3,2.699887,2.162985,1000
599,scorep,10000,2000,3,2.671921,2.138091,250
6,printf,10000,2000,1,7.353621,6.827664,250
60,printf,10000,2000,9,1.635291,1.105150,250
600,extrae,10000,1000,13,1.645359,1.114327,1000
601,void,10000,500,8,1.587696,1.052516,4000
602,oot,10000,500,8,1.548680,1.015434,4000
603,tikki,10000,500,7,1.617316,1.084816,4000
604,extrae,10000,1000,5,1.906256,1.374005,1000
605,printf,10000,500,4,2.152799,1.620444,4000
606,printf,10000,2000,11,1.641799,1.107138,250
607,void,10000,1000,10,1.609822,1.079777,1000
608,tikki,10000,250,11,1.569949,1.038029,16000
609,tikki,10000,1000,7,1.662641,1.128350,1000
61,extrae,10000,1000,13,1.646746,1.115677,1000
610,oot,10000,500,13,1.610064,1.071019,4000
611,printf,10000,1000,3,2.648352,2.116470,1000
612,scorep,10000,1000,3,2.723308,2.186122,1000
613,void,10000,250,3,2.794366,2.263574,16000
614,printf,10000,1000,8,1.601741,1.069463,1000
615,scorep,10000,250,12,1.565561,1.029803,16000
616,printf,10000,500,7,1.575030,1.044127,4000
617,scorep,10000,500,8,1.592385,1.057497,4000
618,printf,10000,1000,13,1.603086,1.070130,1000
619,extrae,10000,1000,11,1.640369,1.110563,1000
62,printf,10000,500,3,2.674023,2.140488,4000
620,empty,10000,250,15,1.541808,1.010076,16000
621,oot,10000,250,10,1.529031,0.994343,16000
622,tikki,10000,1000,5,1.912620,1.378218,1000
623,void,10000,1000,16,1.582123,1.050577,1000
624,void,10000,2000,14,1.648323,1.116297,250
625,oot,10000,1000,14,1.603227,1.064900,1000
626,scorep,10000,1000,6,1.681395,1.149361,1000
627,empty,10000,250,1,7.388528,6.853689,16000
628,oot,10000,1000,12,1.614153,1.081100,1000
629,void,10000,2000,6,1.786700,1.255649,250
63,printf,10000,1000,1,7.346876,6.817372,1000
630,void,10000,1000,15,1.602032,1.068970,1000
631,printf,10000,1000,9,1.621430,1.088577,1000
632,empty,10000,2000,16,1.662630,1.131418,250
633,oot,10000,250,3,2.708718,2.173774,16000
634,printf,10000,250,11,1.530614,0.998317,16000
635,void,10000,500,9,1.570595,1.038649,4000
636,scorep,10000,500,6,1.641651,1.108092,4000
637,void,10000,1000,9,1.604083,1.071174,1000
638,oot,10000,2000,1,7.375620,6.841994,250
639,extrae,10000,500,9,1.612192,1.080209,4000
64,scorep,10000,1000,5,1.863215,1.326764,1000
640,tikki,10000,250,13,1.575391,1.044248,16000
641,extrae,10000,500,11,1.634108,1.102204,4000
