run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1464,empty,2048,128,6,1.375383,1.203147,1496
1465,printf,2048,256,11,1.235555,1.063727,204
1466,void,2048,256,13,1.117970,0.946804,204
1467,extrae,2048,128,11,0.959982,0.789298,1496
1468,scorep,2048,192,11,0.893323,0.721992,385
1469,empty,2048,256,12,1.181519,1.010976,204
147,extrae,2048,256,17,1.123790,0.953781,204
1470,extrae,2048,256,2,3.610301,3.439733,204
1471,empty,2048,256,13,1.111465,0.940483,204
1472,extrae,2048,128,7,1.250896,1.080832,1496
1473,void,2048,256,4,2.016375,1.845646,204
1474,void,2048,256,19,1.036491,0.865456,204
1475,printf,2048,128,17,0.680272,0.509589,1496
1476,printf,2048,256,18,1.057777,0.887500,204
1477,scorep,2048,64,5,1.622341,1.450902,11440
1478,void,2048,64,6,1.421007,1.250411,11440
1479,tikki,2048,128,16,0.746391,0.575949,1496
148,printf,2048,256,19,1.041749,0.871206,204
1480,oot,2048,256,2,3.605096,3.433990,204
1481,printf,2048,128,11,0.954795,0.741030,1496
1482,empty,2048,64,10,0.963812,0.792334,11440
1483,printf,2048,64,6,1.426765,1.256229,11440
1484,oot,2048,256,12,1.169337,0.998944,204
1485,extrae,2048,64,12,0.890096,0.719910,11440
1486,empty,2048,64,19,0.608776,0.437272,11440
1487,oot,2048,192,20,0.686588,0.515105,385
1488,scorep,2048,256,19,1.043448,0.871894,204
1489,oot,2048,256,3,2.503400,2.332521,204
149,scorep,2048,192,6,1.243253,1.072509,385
1490,void,2048,128,18,0.657918,0.486986,1496
1491,printf,2048,256,1,6.822409,6.651732,204
1492,tikki,2048,256,6,1.669967,1.499746,204
1493,extrae,2048,192,7,1.142678,0.971541,385
1494,empty,2048,128,20,0.620693,0.450078,1496
1495,scorep,2048,256,11,1.214557,1.043546,204
1496,void,2048,192,15,0.761185,0.590155,385
1497,scorep,2048,192,13,0.808176,0.636782,385
1498,oot,2048,192,5,1.373512,1.202863,385
1499,printf,2048,192,4,1.588984,1.418016,385
15,printf,2048,128,9,1.042063,0.870268,1496
150,void,2048,192,17,0.720521,0.549047,385
1500,oot,2048,192,11,0.886131,0.715667,385
1501,void,2048,192,6,1.237141,1.065216,385
1502,oot,2048,256,11,1.210011,1.038997,204
1503,tikki,2048,192,4,1.631068,1.459906,385
1504,scorep,2048,256,13,1.159620,0.988294,204
1505,void,2048,128,4,1.816392,1.645228,1496
1506,empty,2048,192,13,0.807834,0.637089,385
1507,void,2048,192,3,2.012198,1.841032,385
