run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
4129,void,10000,250,4,1.609750,1.130693,16000
413,empty,10000,1000,2,2.763987,2.287168,1000
4130,printf,10000,2000,7,1.269133,0.789365,250
4131,printf,10000,250,18,0.832068,0.352311,16000
4132,extrae,10000,500,19,0.917337,0.448301,4000
4133,printf,10000,250,1,5.664906,5.185682,16000
4134,printf,10000,250,5,1.428666,0.949071,16000
4135,oot,10000,250,3,2.019554,1.541466,16000
4136,scorep,10000,250,11,0.963544,0.492389,16000
4137,void,10000,1000,8,1.130706,0.651661,1000
4138,void,10000,2000,11,1.098788,0.626094,250
4139,oot,10000,2000,7,1.289861,0.809221,250
414,printf,10000,500,17,0.842294,0.364789,4000
4140,void,10000,500,14,0.878248,0.401073,4000
4141,tikki,10000,500,7,1.228714,0.749067,4000
4142,scorep,10000,250,5,1.423630,0.952684,16000
4143,extrae,10000,2000,18,1.105250,0.632135,250
4144,void,10000,1000,17,0.864823,0.383963,1000
4145,void,10000,1000,11,0.988586,0.507543,1000
4146,empty,10000,250,4,1.605708,1.128170,16000
4147,scorep,10000,2000,15,1.022863,0.551335,250
4148,tikki,10000,500,14,0.917457,0.442306,4000
4149,extrae,10000,250,19,0.904641,0.436745,16000
415,void,10000,500,10,1.008599,0.530582,4000
4150,empty,10000,500,2,2.808574,2.330014,4000
4151,printf,10000,1000,1,5.612324,5.132798,1000
4152,scorep,10000,500,1,4.762123,4.289443,4000
4153,extrae,10000,500,18,0.914482,0.442443,4000
4154,extrae,10000,2000,15,1.086514,0.617418,250
4155,printf,10000,500,11,0.967390,0.485967,4000
4156,void,10000,2000,13,1.029397,0.555419,250
4157,oot,10000,500,11,0.970571,0.492068,4000
4158,printf,10000,500,14,0.886680,0.406362,4000
4159,scorep,10000,250,17,0.829195,0.357962,16000
416,extrae,10000,2000,8,1.241492,0.771746,250
4160,oot,10000,500,14,0.881452,0.401357,4000
4161,printf,10000,2000,16,1.033018,0.552743,250
4162,oot,10000,250,1,5.640488,5.161588,16000
4163,scorep,10000,500,8,1.105250,0.633560,4000
4164,empty,10000,500,19,0.846330,0.366269,4000
4165,void,10000,1000,19,0.863672,0.384616,1000
4166,void,10000,250,6,1.288146,0.810210,16000
4167,scorep,10000,2000,4,1.654896,1.184202,250
4168,empty,10000,500,12,0.936176,0.457379,4000
4169,extrae,10000,1000,2,2.738351,2.261488,1000
417,oot,10000,2000,7,1.282328,0.805072,250
4170,scorep,10000,500,5,1.403279,0.931716,4000
