run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
4519,void,2048,192,20,0.817028,0.650686,385
452,tikki,2048,128,7,1.441355,1.274879,1496
4520,scorep,2048,192,22,0.788222,0.620014,385
4521,empty,2048,256,24,1.237826,1.072781,204
4522,tikki,2048,64,3,2.523436,2.358342,11440
4523,printf,2048,256,12,1.294642,1.128067,204
4524,scorep,2048,256,13,1.282988,1.113089,204
4525,tikki,2048,128,13,0.931423,0.764454,1496
4526,oot,2048,64,2,3.574627,3.407281,11440
4527,scorep,2048,256,19,1.254974,1.084173,204
4528,tikki,2048,192,15,0.864500,0.696868,385
4529,tikki,2048,128,17,0.820190,0.653085,1496
453,printf,2048,64,3,2.467534,2.300020,11440
4530,scorep,2048,256,3,2.987936,2.817715,204
4531,void,2048,64,20,0.616422,0.450515,11440
4532,extrae,2048,256,20,1.306129,1.142048,204
4533,void,2048,256,23,1.234903,1.068492,204
4534,tikki,2048,64,6,1.456561,1.289774,11440
4535,printf,2048,64,23,0.571063,0.403922,11440
4536,scorep,2048,128,9,1.139977,0.971801,1496
4537,oot,2048,64,3,2.493748,2.325921,11440
4538,oot,2048,64,8,1.088409,0.921562,11440
4539,printf,2048,64,5,1.607904,1.440689,11440
454,oot,2048,64,7,1.241521,1.074496,11440
4540,scorep,2048,128,21,0.703371,0.534485,1496
4541,extrae,2048,128,17,0.804635,0.639842,1496
4542,printf,2048,192,4,1.869673,1.695384,385
4543,printf,2048,256,8,1.552759,1.385601,204
4544,empty,2048,192,4,1.862672,1.696278,385
4545,oot,2048,64,7,1.269718,1.102186,11440
4546,void,2048,192,23,0.784452,0.617012,385
4547,printf,2048,128,18,0.766956,0.600345,1496
4548,scorep,2048,64,1,6.766942,6.601107,11440
4549,tikki,2048,192,8,1.240176,1.074277,385
455,printf,2048,64,4,1.919234,1.752673,11440
4550,void,2048,256,3,2.984248,2.816636,204
4551,scorep,2048,256,4,2.337956,2.170630,204
4552,oot,2048,256,7,1.666887,1.499956,204
4553,void,2048,256,6,1.856286,1.690623,204
4554,printf,2048,256,14,1.203352,1.036451,204
4555,printf,2048,128,20,0.723843,0.556676,1496
4556,scorep,2048,192,19,0.824748,0.654008,385
4557,printf,2048,128,12,0.930366,0.762352,1496
4558,oot,2048,192,6,1.418646,1.251275,385
4559,printf,2048,192,15,0.822547,0.656164,385
456,empty,2048,128,13,0.880989,0.713696,1496
4560,oot,2048,192,19,0.817039,0.650087,385
4561,empty,2048,64,10,0.939000,0.772131,11440
4562,scorep,2048,128,13,0.893205,0.723573,1496
4563,printf,2048,64,19,0.645793,0.479478,11440
