State, th3, TASK, 0.029063, 0.029439, 0.000376, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.029442, 0.029822, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.029824, 0.030201, 0.000377, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.030203, 0.030577, 0.000375, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.030579, 0.030953, 0.000374, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.030960, 0.031342, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.031344, 0.031724, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.031726, 0.032108, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.032110, 0.032488, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.032491, 0.032892, 0.000400, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.032895, 0.033276, 0.000381, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.033278, 0.033663, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.033665, 0.034043, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.034045, 0.034434, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.034436, 0.034843, 0.000407, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.034847, 0.035253, 0.000406, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.035257, 0.035686, 0.000429, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.035689, 0.036109, 0.000420, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.036114, 0.036528, 0.000414, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.036530, 0.036965, 0.000435, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.036967, 0.037375, 0.000408, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.037377, 0.037765, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.037766, 0.038152, 0.000386, 0.000000, lapack_dtpmqrt
