run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1834,printf,2048,256,15,1.570087,1.307108,204
1835,extrae,2048,256,4,3.289592,3.026325,204
1836,scorep,2048,128,6,2.159419,1.895896,1496
1837,void,2048,256,14,1.589057,1.325746,204
1838,extrae,2048,128,7,1.922555,1.659483,1496
1839,void,2048,256,12,1.724896,1.461978,204
184,scorep,2048,256,1,11.192698,10.929368,204
1840,extrae,2048,64,11,1.471898,1.202299,11440
1841,tikki,2048,128,13,1.251337,0.988872,1496
1842,extrae,2048,192,16,1.208193,0.939114,385
1843,tikki,2048,192,4,2.644995,2.382523,385
1844,scorep,2048,192,4,2.613516,2.350059,385
1845,printf,2048,256,10,1.804703,1.541547,204
1846,empty,2048,128,9,1.568446,1.305797,1496
1847,void,2048,64,2,6.307664,6.044226,11440
1848,oot,2048,128,9,1.557102,1.294447,1496
1849,printf,2048,192,9,1.472489,1.209750,385
185,oot,2048,64,12,1.307473,1.044956,11440
1850,empty,2048,192,5,2.167747,1.905004,385
1851,empty,2048,256,1,11.194327,10.930958,204
1852,scorep,2048,64,9,1.636605,1.373313,11440
1853,printf,2048,256,16,1.540831,1.277475,204
1854,empty,2048,64,11,1.389245,1.126490,11440
1855,empty,2048,128,2,5.715452,5.452707,1496
1856,tikki,2048,256,13,1.668661,1.405828,204
1857,oot,2048,192,9,1.467317,1.204597,385
1858,printf,2048,128,16,1.053796,0.790976,1496
1859,scorep,2048,192,10,1.380609,1.117137,385
186,void,2048,192,16,1.058403,0.795519,385
1860,empty,2048,128,10,1.446520,1.183438,1496
1861,void,2048,64,13,1.212650,0.949670,11440
1862,oot,2048,64,11,1.434233,1.171395,11440
1863,printf,2048,256,6,2.512372,2.249805,204
1864,void,2048,192,9,1.464255,1.201508,385
1865,tikki,2048,64,10,1.582054,1.315882,11440
1866,printf,2048,256,9,1.943658,1.680883,204
1867,extrae,2048,64,13,1.331655,1.062014,11440
1868,extrae,2048,64,4,3.332032,3.068275,11440
1869,scorep,2048,128,4,3.048005,2.784348,1496
187,extrae,2048,192,11,1.402706,1.132529,385
1870,printf,2048,192,2,4.743153,4.480374,385
1871,extrae,2048,64,1,12.055006,11.791933,11440
1872,empty,2048,192,7,1.703159,1.440281,385
1873,empty,2048,256,11,1.768401,1.494275,204
1874,printf,2048,64,7,2.021917,1.758923,11440
1875,oot,2048,256,9,1.945481,1.681967,204
1876,tikki,2048,64,2,6.389793,6.126998,11440
1877,oot,2048,128,2,5.742659,5.479870,1496
1878,scorep,2048,256,8,2.099911,1.836477,204
1879,oot,2048,256,12,1.688157,1.425211,204
188,empty,2048,64,15,1.089316,0.826878,11440
1880,tikki,2048,192,14,1.168143,0.905296,385
1881,oot,2048,64,10,1.536801,1.273349,11440
1882,empty,2048,256,6,2.504889,2.242259,204
1883,void,2048,128,2,5.718169,5.455284,1496
1884,oot,2048,192,13,1.166785,0.903686,385
1885,void,2048,64,9,1.655371,1.392692,11440
1886,scorep,2048,192,8,1.603496,1.339874,385
1887,extrae,2048,256,15,1.699398,1.429275,204
1888,printf,2048,64,16,1.057733,0.795058,11440
1889,oot,2048,192,10,1.376280,1.113057,385
189,tikki,2048,192,2,4.769400,4.467769,385
1890,oot,2048,192,11,1.283730,1.021076,385
1891,extrae,2048,128,12,1.344657,1.074565,1496
1892,tikki,2048,192,10,1.413978,1.150950,385
1893,printf,2048,192,3,3.270477,3.007753,385
1894,empty,2048,64,4,3.269632,3.006837,11440
1895,scorep,2048,128,2,5.781003,5.517409,1496
1896,extrae,2048,256,8,2.131407,1.867958,204
1897,oot,2048,256,5,2.760778,2.498186,204
1898,empty,2048,256,4,3.258436,2.995819,204
1899,tikki,2048,256,16,1.586261,1.323651,204
19,scorep,2048,128,8,1.697706,1.433797,1496
