run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
2763,extrae,10000,2000,23,1.313355,0.765337,250
2764,void,10000,2000,23,1.246569,0.702863,250
2765,printf,10000,250,13,1.110382,0.563835,16000
2766,empty,10000,1000,13,1.113009,0.568430,1000
2767,printf,10000,250,6,1.357181,0.810802,16000
2768,printf,10000,250,17,1.110857,0.565198,16000
2769,printf,10000,1000,17,1.134074,0.583147,1000
277,oot,10000,250,3,2.121113,1.574948,16000
2770,oot,10000,500,23,1.108419,0.563847,4000
2771,extrae,10000,250,9,1.185556,0.636025,16000
2772,extrae,10000,1000,9,1.158508,0.612309,1000
2773,extrae,10000,500,14,1.152212,0.607125,4000
2774,oot,10000,1000,7,1.259637,0.714541,1000
2775,void,10000,250,10,1.112123,0.568498,16000
2776,void,10000,2000,7,1.323817,0.777763,250
2777,printf,10000,500,13,1.100845,0.559405,4000
2778,tikki,10000,250,3,2.163692,1.614193,16000
2779,void,10000,2000,4,1.699748,1.153588,250
278,empty,10000,1000,13,1.114269,0.567445,1000
2780,scorep,10000,250,23,1.116483,0.567215,16000
2781,tikki,10000,1000,12,1.161014,0.616013,1000
2782,extrae,10000,500,20,1.178451,0.631409,4000
2783,empty,10000,1000,23,1.135255,0.585159,1000
2784,scorep,10000,500,22,1.101295,0.564055,4000
2785,tikki,10000,2000,4,1.759269,1.216383,250
2786,oot,10000,2000,15,1.197858,0.653439,250
2787,void,10000,500,6,1.362198,0.815771,4000
2788,printf,10000,500,2,2.953474,2.404045,4000
2789,extrae,10000,1000,11,1.147883,0.598871,1000
279,oot,10000,500,8,1.189153,0.638145,4000
2790,void,10000,250,13,1.101094,0.556683,16000
2791,printf,10000,250,22,1.118278,0.559633,16000
2792,tikki,10000,500,9,1.176275,0.634199,4000
2793,scorep,10000,1000,24,1.140328,0.588733,1000
2794,scorep,10000,250,14,1.117913,0.568577,16000
2795,oot,10000,2000,21,1.247020,0.701361,250
2796,empty,10000,2000,13,1.189262,0.644704,250
2797,empty,10000,2000,23,1.243022,0.695503,250
2798,oot,10000,250,6,1.353409,0.808000,16000
2799,void,10000,2000,18,1.241013,0.692425,250
28,tikki,10000,2000,20,1.281873,0.734810,250
280,empty,10000,250,13,1.111717,0.564154,16000
2800,oot,10000,2000,12,1.189570,0.644029,250
2801,scorep,10000,250,16,1.112068,0.566074,16000
2802,extrae,10000,1000,10,1.154610,0.607023,1000
2803,oot,10000,250,15,1.105187,0.562429,16000
2804,extrae,10000,500,8,1.207490,0.664005,4000
2805,void,10000,250,6,1.359131,0.811811,16000
2806,extrae,10000,1000,24,1.212541,0.668404,1000
2807,oot,10000,500,18,1.111694,0.564380,4000
2808,scorep,10000,250,18,1.120610,0.571132,16000
2809,scorep,10000,1000,12,1.133871,0.585824,1000
281,extrae,10000,500,10,1.153180,0.607958,4000
2810,scorep,10000,500,18,1.116025,0.565690,4000
2811,extrae,10000,500,18,1.171809,0.623424,4000
2812,tikki,10000,2000,10,1.255155,0.707604,250
2813,void,10000,1000,20,1.126463,0.581826,1000
