State, th9, TASK, 0.066632, 0.067405, 0.000773, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.067408, 0.068168, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.068172, 0.068935, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.068938, 0.069695, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.069699, 0.070466, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.070470, 0.071249, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.071252, 0.072018, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.072022, 0.072791, 0.000769, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.072794, 0.073564, 0.000770, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.073567, 0.074338, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.074342, 0.075119, 0.000777, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.075122, 0.075887, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.075891, 0.076658, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.076662, 0.077422, 0.000761, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.077425, 0.078182, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.078186, 0.078957, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.078960, 0.079713, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.079716, 0.080465, 0.000748, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.080469, 0.081241, 0.000772, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.081245, 0.082006, 0.000761, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.082009, 0.082760, 0.000751, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.082763, 0.083516, 0.000753, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.083519, 0.084275, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.084278, 0.085036, 0.000757, 0.000000, lapack_dtpmqrt
