timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:43:35.823, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.76 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:35.874, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.76 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:35.924, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 106.30 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:35.974, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 106.30 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.024, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 78.22 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.075, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 78.22 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.125, 0, NVIDIA GeForce RTX 4090, 545.23.08, 5 %, 24564 MiB, 22774 MiB, 71.23 W, 48, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.175, 0, NVIDIA GeForce RTX 4090, 545.23.08, 5 %, 24564 MiB, 22774 MiB, 71.23 W, 52, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.225, 0, NVIDIA GeForce RTX 4090, 545.23.08, 5 %, 24564 MiB, 22774 MiB, 89.56 W, 51, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.275, 0, NVIDIA GeForce RTX 4090, 545.23.08, 5 %, 24564 MiB, 22774 MiB, 89.56 W, 48, 2790 MHz, 2790 MHz, 10251 MHz
2025/10/05 04:43:36.326, 0, NVIDIA GeForce RTX 4090, 545.23.08, 96 %, 24564 MiB, 22774 MiB, 115.55 W, 47, 2790 MHz, 2790 MHz, 10251 MHz
2025/10/05 04:43:36.376, 0, NVIDIA GeForce RTX 4090, 545.23.08, 96 %, 24564 MiB, 22774 MiB, 117.47 W, 46, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.452, 0, NVIDIA GeForce RTX 4090, 545.23.08, 96 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.502, 0, NVIDIA GeForce RTX 4090, 545.23.08, 96 %, 24564 MiB, 22774 MiB, 118.16 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.552, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.16 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.603, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.11 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.653, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.11 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.703, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.12 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.753, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 118.12 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.804, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 118.12 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.854, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 118.12 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.904, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 118.18 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:36.954, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.18 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.005, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.19 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:37.055, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.19 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
