timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:05:49.599, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.11 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.652, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.11 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.702, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.11 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.752, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.23 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.803, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.23 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.853, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.32 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.903, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.32 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:49.953, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.33 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.003, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.33 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.054, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.40 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.104, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.40 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.154, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.53 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.204, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.53 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.255, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.64 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.305, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.64 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
2025/10/05 04:05:50.355, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22736 MiB, 59.74 W, 25, 2580 MHz, 2580 MHz, 10251 MHz
